StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13_1,Q13_2,Q13_3,Q13_6,Q13_7,Q13_8,Q13_9,Q13_12,Q13_13,Q13_14,Q13_15,Q14,Q15
2024-01-03T04:26:37Z,2024-01-03T06:06:14Z,IP Address,174.195.132.244,100,5976,TRUE,2024-01-03T06:06:15Z,R_5NlhK9BC4TuGLnk,NA,NA,NA,NA,34.0349,-117.6185,anonymous,EN,More nervous than excited,I’m taking this class because analytics is not necessarily a strength but I want to get better!,To get better at analytics!,I’m sure I’ll have some once the course begins,Customer retention and brand health!,Yes,Customer retention,Marketing specialist at a beauty company,1 class,No,NA,Canvas,Monday morning,Monday early afternoon,Monday late afternoon,NA,Wednesday morning,Wednesday early afternoon,NA,NA,Friday morning,Friday early afternoon,Friday late afternoon,22,Female
2024-01-03T22:37:45Z,2024-01-03T22:56:29Z,IP Address,98.33.212.223,100,1124,TRUE,2024-01-03T22:56:30Z,R_599Yxk35iEO5yc5,NA,NA,NA,NA,40.6571,-111.8343,anonymous,EN,More excited than nervous,I'm not too nervous about anything. One thing would maybe be how much work we're going to have outside of class.,I'm excited to develop the skills necessary to better analyze marketing data.,None,Brand health and product development,No,NA,Starting a business and becoming an entrepreneur. Not sure exactly what I'd do yet though.,3 classes,Yes,Somewhat prepared,Canvas,NA,Monday early afternoon,NA,Tuesday late afternoon,NA,Wednesday early afternoon,NA,NA,NA,NA,NA,23,Male
2024-01-03T23:23:04Z,2024-01-03T23:27:12Z,IP Address,24.11.63.187,100,248,TRUE,2024-01-03T23:27:13Z,R_3mlQLbAxwgettqZ,NA,NA,NA,NA,40.6571,-111.8343,anonymous,EN,More nervous than excited,I am nervous about r studio and the other programs we are going to learn to use.,I am excited to learn about these analytics programs and skills that can be helpful in my career.,I am wondering what the best thing I can do is to learn these skills and master them.,I am interested in learning about new product development.,No,NA,My dream job would be to be the marketer for Crumbl.,1 class,Yes,Somewhat unprepared,Learning Suite,NA,Monday early afternoon,NA,Tuesday late afternoon,NA,Wednesday early afternoon,Wednesday late afternoon,Thursday late afternoon,Friday morning,Friday early afternoon,Friday late afternoon,22,Female
2024-01-04T03:32:00Z,2024-01-04T03:48:21Z,IP Address,98.165.95.61,100,981,TRUE,2024-01-04T03:48:22Z,R_3kKSUfTaEaaupqQ,NA,NA,NA,NA,33.3199,-112.0676,anonymous,EN,More excited than nervous,I am nervous that this class will be too fast-paced.,I am excited to gain a better understanding of R and to feel more comfortable using it now that I'm familiar with the basics.,When do people use R instead of Excel? Are there other popular tools that people use to organize and analyze marketing data?,Brand health,No,NA,A job in marketing research/analytics doing brand management or product development,2 classes,Yes,Somewhat prepared,Learning Suite,NA,NA,Monday late afternoon,Tuesday late afternoon,NA,NA,Wednesday late afternoon,Thursday late afternoon,Friday morning,Friday early afternoon,Friday late afternoon,21,Female
2024-01-04T04:48:40Z,2024-01-04T04:56:38Z,IP Address,65.129.99.198,100,478,TRUE,2024-01-04T04:56:39Z,R_6EE8xqyj952V44m,NA,NA,NA,NA,43.7308,-116.281,anonymous,EN,More nervous than excited,Not understanding the coding/feeling behind. And being overwhelmed with workload,I love learning valuable skills! I’m excited to understand more about coding in business and to feel proficient in it. I’ve also heard that people love this class so I’m excited,Where will I use these skills and how should I communicate the skills and knowledge I gain in this class on my resume?,"Brand health, new product dev, etc!",Yes,"Customer retention, lead acquisition",still very open but I’m thinking  marketing for a company that I’m passionate about! I would love to also be involved in analytics because for me that’s the stuff that matters,1 class,No,NA,Canvas,Monday morning,Monday early afternoon,Monday late afternoon,Tuesday late afternoon,Wednesday morning,Wednesday early afternoon,NA,Thursday late afternoon,NA,NA,NA,21,Female
2024-01-04T14:32:07Z,2024-01-04T14:38:27Z,IP Address,136.36.49.69,100,380,TRUE,2024-01-04T14:38:28Z,R_62zPOkVKfwIUYnq,NA,NA,NA,NA,40.2584,-111.6591,anonymous,EN,More excited than nervous,Business analytics was tough.,It’s a nice hard skill to have as a marketer that is easy and credible on the resume.,Why are we using R and not python?,NA,Yes,"Custome acquisition, which types of customers do we typically work with so we can focus future efforts on the most profitable","Not sure, but data analytics seem to be the way to get a high paying job. Data is big right now and I want to at least have some credible connection to it",1 class,Yes,Somewhat prepared,Canvas,Monday morning,Monday early afternoon,Monday late afternoon,Tuesday late afternoon,Wednesday morning,Wednesday early afternoon,Wednesday late afternoon,Thursday late afternoon,Friday morning,Friday early afternoon,Friday late afternoon,24,Male
2024-01-04T17:39:03Z,2024-01-04T17:44:21Z,IP Address,100.36.28.32,100,317,TRUE,2024-01-04T17:44:22Z,R_7U9JuUK69dO1G0x,NA,NA,NA,NA,38.93,-77.35,anonymous,EN,More excited than nervous,Troubleshooting/debugging code,Interpreting data,Are there big group projects like other courses?,Customer Retention and new product/experience development,No,NA,Market Research in the social impact world,3 classes,Yes,Somewhat prepared,Canvas,NA,Monday early afternoon,NA,NA,NA,Wednesday early afternoon,NA,NA,NA,NA,NA,22,Male
2024-01-04T21:09:08Z,2024-01-04T21:17:52Z,IP Address,166.199.242.49,100,524,TRUE,2024-01-04T21:17:53Z,R_6Iw5Q1gLNfefqfL,NA,NA,NA,NA,32.8236,-96.6814,anonymous,EN,More excited than nervous,Getting behind that I never catch up or rely too much on chatgpt.,Learning new skills!!! I really enjoy coding and I want to see what i’m capable of.,What does it look like in an internship?,All,No,NA,Dallas Cowboy Cheerleader. Honestly I still have no idea yet!,2 classes,Yes,Somewhat prepared,Canvas,Monday morning,Monday early afternoon,Monday late afternoon,Tuesday late afternoon,Wednesday morning,Wednesday early afternoon,Wednesday late afternoon,Thursday late afternoon,NA,NA,NA,22,Female
2024-01-05T00:20:44Z,2024-01-05T00:25:05Z,IP Address,136.36.181.231,100,261,TRUE,2024-01-05T00:25:06Z,R_1J2u8Dt6RodsImw,NA,NA,NA,NA,40.2329,-111.6688,anonymous,EN,More nervous than excited,Being able to understand and apply difficult concepts.,Gaining a new skill that will be so helpful in my internships and career!,How can I be successful when coding might not be my greatest strength?,"new product development, brand health",No,NA,Not sure yet. Maybe brand management or product management?,3 classes,Yes,Extremely unprepared,Learning Suite,NA,NA,NA,Tuesday late afternoon,NA,NA,NA,Thursday late afternoon,NA,NA,NA,23,Female
2024-01-05T04:25:18Z,2024-01-05T04:29:50Z,IP Address,38.81.101.206,100,271,TRUE,2024-01-05T04:29:51Z,R_3kUh68p2SxSw27R,NA,NA,NA,NA,41.6187,-72.75,anonymous,EN,More nervous than excited,"I took MSB 325 and found that it was hard to want to understand the concepts and why something worked. Instead I just wanted to know what to do. I’m nervous that I will still have this mentality. I learned from that class that in order to be successful, I must understand the concepts. I hope I can remember that and put more effort into the brain power of it and laying a good foundation.",I’m excited to gain a useful skill for my future jobs.,How can I understand the basics so that I can apply this in all of my work and other coding languages?,I haven’t really thought about this! Let’s go with customer retention.,No,NA,CMO of a fashion company,1 class,Yes,Somewhat prepared,Canvas,NA,NA,NA,Tuesday late afternoon,NA,Wednesday early afternoon,Wednesday late afternoon,Thursday late afternoon,NA,NA,NA,22,Female
2024-01-05T05:01:03Z,2024-01-05T05:04:17Z,IP Address,67.177.59.210,100,193,TRUE,2024-01-05T05:04:17Z,R_6mR1ZvDttcs5tOp,NA,NA,NA,NA,40.3942,-111.8483,anonymous,EN,More excited than nervous,Not knowing all I need to know about analytics softwares,"to learn new things I can use in internships and jobs!
","how can I make sure to stay on top of assignments?
","probably customer retention and brand health
",Yes,brand health,"not totally sure yet, but probably working for a company that allows me to do lots of different things with my skills and not be stuck in one area
",1 class,No,NA,Learning Suite,Monday morning,NA,NA,NA,Wednesday morning,NA,NA,NA,NA,NA,NA,21,Female
2024-01-05T05:43:58Z,2024-01-05T05:53:59Z,IP Address,66.219.235.87,100,601,TRUE,2024-01-05T05:54:00Z,R_5Bb8WpSCKyGfCpB,NA,NA,NA,NA,40.2584,-111.6591,anonymous,EN,More nervous than excited,I am nervous about understanding the material and coding. I am also nervous about potentially not knowing very many people in the class.,I am excited to learn more about how extracting data works and finding insights and solutions. I also want to be able to apply this to my future internship opportunities.,If this is the type of marketing I want to build a career from.,"I think brand management is interesting, and product development. I really am open to learning about it all.",Yes,I intern right now in marketing for a property management company. I mainly take the data from how many leads we receive and how many applications we have to decide what we need to improve upon.,I would love to just understand the root of what marketing is. One of my dreams is to be my own boss and do marketing for companies. My family is also looking to do a real estate business and it would be cool to do the marketing for it.,2 classes,Yes,Neutral,Canvas,NA,Monday early afternoon,NA,Tuesday late afternoon,NA,Wednesday early afternoon,NA,NA,Friday morning,NA,NA,21,Female
2024-01-06T21:48:14Z,2024-01-06T21:53:15Z,IP Address,67.163.84.237,100,301,TRUE,2024-01-06T21:53:16Z,R_5CrrIQhSEgMZI77,NA,NA,NA,NA,40.3969,-111.7919,anonymous,EN,Extremely excited,Maybe using R or any other softwares.,Learning to softwares more and get a deeper dive to tactics to evaluate metrics.,How do can this class help my future career.,customer retention and product development,Yes,"customer acquisition, product development, customer retention",brand/product manager,1 class,No,NA,Canvas,Monday morning,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,Male
2024-01-08T03:11:13Z,2024-01-08T03:22:30Z,IP Address,136.36.5.46,100,677,TRUE,2024-01-08T03:22:31Z,R_5pJHKLHrAfQHZN2,NA,NA,NA,NA,40.2329,-111.6688,anonymous,EN,More excited than nervous,I am most nervous about applying my skills into real life situations.,I'm excited to learn how to think analytically and extract data.,How will this class prepare me for the workforce?,I'm interested in new product development and customer retention.,No,NA,My dream job would be a brand manager.,2 classes,Yes,Neutral,Canvas,NA,Monday early afternoon,NA,Tuesday late afternoon,NA,Wednesday early afternoon,Wednesday late afternoon,NA,NA,NA,NA,22,Male
2024-01-08T05:00:47Z,2024-01-08T05:03:35Z,IP Address,66.7.118.66,100,168,TRUE,2024-01-08T05:03:36Z,R_33lmvS54yNLwHRf,NA,NA,NA,NA,40.2584,-111.6591,anonymous,EN,Even mix of nervous and excited,"It was hard for me to learn R from last semester. So I doubt my capabilities 
",It's an extremely helpful skill and I want to do consulting. Which will require coding for sure!,How difficult it will be haha.,Product development and brand health,No,NA,Market consultant. Or marketing analytics specialist,None,Yes,Somewhat unprepared,Learning Suite,NA,NA,NA,NA,NA,NA,NA,NA,Friday morning,NA,NA,22,Male
2024-01-08T07:04:59Z,2024-01-08T07:10:18Z,IP Address,136.36.110.44,100,319,TRUE,2024-01-08T07:10:19Z,R_5mKQyIUXhfRIfQQ,NA,NA,NA,NA,40.2329,-111.6688,anonymous,EN,More nervous than excited,"I want so badly to be an Excel master and dominate analytics, but it does not come naturally. I hope this class helps me to improve rather than digging me into a deeper hole.",The potential of having data analytics click and being able to apply it.,How do I understand what questions to ask in analytics,customer segmentation and new products,No,NA,Product manager for a product that I love,1 class,No,NA,Canvas,NA,NA,NA,Tuesday late afternoon,NA,NA,NA,Thursday late afternoon,NA,NA,NA,24,Male
2024-01-08T16:03:02Z,2024-01-08T16:14:02Z,IP Address,128.187.116.22,100,659,TRUE,2024-01-08T16:14:03Z,R_5febrCF22JMYd7j,NA,NA,NA,NA,40.2342,-111.6442,anonymous,EN,More excited than nervous,Just remembering stuff from last semester,I'm excited to see more about how R and analytics can actual apply in business.,How can I use analytics more effectively in my job and in the future.,I think new product development and brand health are super interesting.,No,NA,Product Marketing at Adobe or marketing analytics,2 classes,Yes,Somewhat prepared,Canvas,Monday morning,NA,NA,Tuesday late afternoon,Wednesday morning,NA,NA,Thursday late afternoon,NA,NA,NA,21,Female
2024-01-08T16:19:24Z,2024-01-08T16:22:14Z,IP Address,128.187.116.11,100,169,TRUE,2024-01-08T16:22:15Z,R_5JKkNJr2acFnUBP,NA,NA,NA,NA,40.2342,-111.6442,anonymous,EN,More nervous than excited,"Analytics is something I want to be really good at, but so far it has not been my strong suite. It will be a lot of work for me, but I'm excited for the opportunity to learn.",I am just excited to learn such valuable skills!,How much do I need to know going into this class?,Product development,No,NA,Creative director,2 classes,Yes,Neutral,Canvas,NA,NA,Monday late afternoon,NA,NA,NA,NA,NA,NA,NA,NA,21,Female
2024-01-08T16:45:27Z,2024-01-08T16:47:27Z,IP Address,128.187.116.28,100,119,TRUE,2024-01-08T16:47:28Z,R_5yknpygW3iMQtiV,NA,NA,NA,NA,40.2342,-111.6442,anonymous,EN,More excited than nervous,The unknown,I love analytics!!,How the coursework will play out,New product development,No,NA,Entrepreneur CEO,3 classes,No,NA,Canvas,NA,Monday early afternoon,NA,NA,NA,Wednesday early afternoon,NA,NA,Friday morning,NA,NA,23,Female
2024-01-09T04:41:20Z,2024-01-09T04:45:22Z,IP Address,136.36.56.56,100,241,TRUE,2024-01-09T04:45:23Z,R_7rAXV9alPOjx7e7,NA,NA,NA,NA,40.2584,-111.6591,anonymous,EN,Even mix of nervous and excited,Having the time I need to be competent in the skills we are learning. Actually retaining the skills I learn so I can use them in industry.,learning skills that will make me a more valuable employee,The class structure,"New product dev, sales promotion impacts",No,NA,Social impact sales rep,2 classes,Yes,Neutral,Learning Suite,NA,Monday early afternoon,NA,Tuesday late afternoon,NA,Wednesday early afternoon,NA,Thursday late afternoon,NA,NA,NA,22,Female
2024-01-09T05:02:56Z,2024-01-09T05:13:20Z,IP Address,136.36.56.170,100,624,TRUE,2024-01-09T05:13:20Z,R_1hxUyFxc3FYIvXz,NA,NA,NA,NA,40.2584,-111.6591,anonymous,EN,More excited than nervous,"I didn't feel super confident in my skills I learned in MSB 325, I'm a little nervous I'll start off a little behind.",I'm really excited to deepen my skills in analytics tools!,What jobs do the skills I learn in this class prepare me for?,Brand health is really interesting to me.,No,NA,Brand management for an outdoor or travel brand. Market research and consulting is also really interesting to me too.,2 classes,Yes,Somewhat unprepared,Learning Suite,Monday morning,Monday early afternoon,NA,NA,Wednesday morning,Wednesday early afternoon,NA,NA,NA,NA,NA,23,Male
2024-01-09T05:19:28Z,2024-01-09T05:31:37Z,IP Address,38.70.255.65,100,728,TRUE,2024-01-09T05:31:37Z,R_5DND7ZAlr4wJwn3,NA,NA,NA,NA,41.0721,-111.9329,anonymous,EN,More nervous than excited,"I do not consider myself a numbers or excel person, but I know those skills are important in the marketing industry then I hope to learn well to become a good marketer",get better at this skill that I can get a good internship based on what I learn in these last semesters in the program,There are other elements of MKTG analytics more that stats and numbers.,"I do not know a lot about the course but, based on the examples I think that the most appealing to me is new product development.",No,NA,"I would like in a marketing agency able to contribute to with my part with the best practices. besides that I would love to able to present data that can help the company to perform well in their KPIs. Eventually, I would like to be in the role of brand manager or marketing coordinator.",2 classes,No,NA,Canvas,NA,NA,NA,NA,NA,NA,NA,NA,Friday morning,NA,NA,28,Male
2024-01-10T18:42:53Z,2024-01-10T18:46:48Z,IP Address,128.187.116.17,100,234,TRUE,2024-01-10T18:46:49Z,R_6hiqs24ExdWx2nv,NA,NA,NA,NA,40.2342,-111.6442,anonymous,EN,More nervous than excited,"Being able to grasp the skills and retain them long-term 
",Learning a new skill that I can put on my resume,"How do I ensure that I keep these skills and not just forget the material? (Promote long-term memory vs. short-term?)
","New Product Development
Brand Health/Brand Well-being
Segmentation? 
Profit stuff?",No,NA,Brand Manager,2 classes,Yes,Extremely unprepared,Canvas,NA,NA,NA,Tuesday late afternoon,NA,NA,NA,NA,NA,NA,NA,20,Female
2024-01-04T00:01:29Z,2024-01-04T00:03:31Z,IP Address,12.74.211.83,40,122,FALSE,2024-01-11T00:03:34Z,R_6Rlc3wGoDRZZvB7,NA,NA,NA,NA,NA,NA,anonymous,EN,More excited than nervous,Coding skills,Learning lots!,How can I apply this to my future jobs?,"Customer acquisition, profit analysis",Yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
